,PIB,Chelt_sanatate,Somaj_stud_sup,Sup,Forta_munca,Som_total,R_taxarii,C_final,Ec_brute
Netherlands,0.4219759030831923,2.0759346575660564,-0.2305010191561816,-0.35453905335407404,-0.2505722837986823,-0.5142122583039949,-0.07850914952703411,-0.7068497216677437,0.7068497217331965
Norway,-0.1353460180710393,0.681717753558321,0.036437301374351076,-0.2365514735706775,-0.5042058172375258,-1.029371440947672,-0.00897572042349562,-1.5969448765351606,1.5969448767801528
Peru,-0.44288376212764896,-1.1093609095960686,0.5189794624581187,0.07244059832047584,0.0579639299356032,-0.948877813855134,-0.28131498441235425,-0.5418057921398484,0.5418057921720102
Poland,-0.02561424084896262,-0.5431582675260688,-0.5179729366073502,-0.26144065344002226,0.12350172175021465,0.08144055175419453,-0.043742434975264866,0.04868759096678126,-0.048687591053726186
Portugal,-0.3490342158192939,0.7390522221222835,-0.5385067285982693,-0.3371264460687259,-0.3954751903539127,1.0634628634583139,0.08373551838122183,0.5418933240649788,-0.541893324251407
Paraguay,-0.6044484405366966,0.4427729489098647,-0.16889983825370744,-0.22914493592134585,-0.48662616110284485,-0.7878905596700583,-0.33925950866530286,0.12476903725854205,-0.12476903736083285
Romania,-0.44865911882354775,-1.1004453240776844,-0.7746444586775649,-0.28694504214720906,-0.2295469128554706,-0.41761984429581833,0.1358855902088759,-0.22680046875198934,0.22680046872061252
Russian Federation,0.8103686408823847,-0.5919247403127254,1.6072665375978534,5.501188259626241,2.48115401653517,-0.7073969325775203,0.45458047360009324,-0.685759341008094,0.6857593410692928
Serbia,-0.5788543041821049,1.1128874173774534,-0.36397008188630636,-0.3384516168913096,-0.4867675194282649,1.9649915480698952,-0.4435596523206102,1.3562877399395672,-1.3562877399156665
Slovak Republic,-0.5028127394879881,0.10950516540714667,-1.1134507585708897,-0.35195188047350656,-0.5025534981607471,0.693192148245061,0.48934718815186207,-0.3554825026112067,0.3554825026057857
Slovenia,-0.5679726611638307,0.5077973764276515,-0.3023690960541153,-0.3618274928782842,-0.5717203722444472,0.04924313150475772,-0.5478597959759179,-0.35541315974020127,0.3554131597347673
Sweden,0.006150220978480634,0.7395038555943796,-0.2099672271652625,-0.21518326571076743,-0.4066930780265288,-0.28883001036017947,0.6515918560601184,-0.5224861696517167,0.522486169679983
Thailand,-0.2580723478588882,-1.4223673108704065,1.0015218186121695,-0.19262789704658423,0.9918018146596603,-1.4801357545977314,-0.6753377493324049,-0.8083208834141338,0.8083208835000548
Turkey,0.3209071609049638,-0.9947685130946026,-0.10729865735123326,-0.09978354542494491,0.4880644003835093,-0.1922377499338433,-0.06692024467644422,0.6858895228492397,-0.6858895230647125
Ukraine,-0.4855090020910031,-0.0767113429802773,2.6544856355351287,-0.1615825090967808,0.3182491109644152,-0.43371863121145693,0.7848642618419001,1.1872074671995103,-1.1872074670478547
